[INFO] [2023-03-08 01:55:35,884] [202303080155356140690] [16:139668142229248] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/guest/9999/create
[INFO] [2023-03-08 01:55:36,420] [202303080155356140690] [16:139667974440704] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/arbiter/10000/start
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:36,466] [202303080155356140690] [16:139667974440704] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/reader_0/202303080155356140690_reader_0/0/guest/9999/status/running
{"retcode":10,"retmsg":"update job status does not take effect"}

[INFO] [2023-03-08 01:55:36,492] [202303080155356140690] [16:139667974440704] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/reader_0/202303080155356140690_reader_0/0/host/10000/status/running
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:36,550] [202303080155356140690] [16:139667974440704] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/reader_0/202303080155356140690_reader_0/0/guest/9999/start
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:36,630] [202303080155356140690] [16:139667974440704] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/reader_0/202303080155356140690_reader_0/0/host/10000/start
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:41,406] [202303080155356140690] [960047:140419357169472] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://10.244.0.20:9380/v1/party/202303080155356140690/reader_0/202303080155356140690_reader_0/0/guest/9999/report
{"retcode":10,"retmsg":"update job status does not take effect"}

[INFO] [2023-03-08 01:55:41,414] [202303080155356140690] [960047:140419357169472] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://10.244.0.20:9380/v1/tracker/202303080155356140690/reader_0/202303080155356140690_reader_0/0/guest/9999/model/run_parameters/get
{"data":{},"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:42,540] [202303080155356140690] [960047:140419357169472] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://10.244.0.20:9380/v1/tracker/202303080155356140690/reader_0/202303080155356140690_reader_0/0/guest/9999/output_data_info/save
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:42,558] [202303080155356140690] [960047:140419357169472] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://10.244.0.20:9380/v1/tracker/202303080155356140690/reader_0/202303080155356140690_reader_0/0/guest/9999/metric_meta/save
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:42,580] [202303080155356140690] [960047:140419357169472] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://10.244.0.20:9380/v1/party/202303080155356140690/reader_0/202303080155356140690_reader_0/0/guest/9999/report
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:42,788] [202303080155356140690] [16:139667974440704] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/reader_0/202303080155356140690_reader_0/0/guest/9999/status/success
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:42,890] [202303080155356140690] [16:139667974440704] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/reader_0/202303080155356140690_reader_0/0/host/10000/status/success
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:42,903] [202303080155356140690] [16:139667974440704] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/reader_0/202303080155356140690_reader_0/0/guest/9999/stop/success
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:42,917] [202303080155356140690] [16:139667974440704] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/reader_0/202303080155356140690_reader_0/0/host/10000/stop/success
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:42,953] [202303080155356140690] [16:139667974440704] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/reader_1/202303080155356140690_reader_1/0/guest/9999/status/running
{"retcode":10,"retmsg":"update job status does not take effect"}

[INFO] [2023-03-08 01:55:42,981] [202303080155356140690] [16:139667974440704] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/reader_1/202303080155356140690_reader_1/0/host/10000/status/running
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:43,041] [202303080155356140690] [16:139667974440704] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/reader_1/202303080155356140690_reader_1/0/guest/9999/start
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:43,144] [202303080155356140690] [16:139667974440704] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/reader_1/202303080155356140690_reader_1/0/host/10000/start
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:43,155] [202303080155356140690] [16:139667974440704] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/guest/9999/update
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:43,167] [202303080155356140690] [16:139667974440704] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/host/10000/update
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:43,179] [202303080155356140690] [16:139667974440704] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/arbiter/10000/update
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:43,403] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/guest/9999/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:43,413] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/host/10000/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:43,422] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/arbiter/10000/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:46,665] [202303080155356140690] [960152:140208850614080] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://10.244.0.20:9380/v1/party/202303080155356140690/reader_1/202303080155356140690_reader_1/0/guest/9999/report
{"retcode":10,"retmsg":"update job status does not take effect"}

[INFO] [2023-03-08 01:55:46,669] [202303080155356140690] [960152:140208850614080] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://10.244.0.20:9380/v1/tracker/202303080155356140690/reader_1/202303080155356140690_reader_1/0/guest/9999/model/run_parameters/get
{"data":{},"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:47,709] [202303080155356140690] [960152:140208850614080] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://10.244.0.20:9380/v1/tracker/202303080155356140690/reader_1/202303080155356140690_reader_1/0/guest/9999/output_data_info/save
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:47,726] [202303080155356140690] [960152:140208850614080] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://10.244.0.20:9380/v1/tracker/202303080155356140690/reader_1/202303080155356140690_reader_1/0/guest/9999/metric_meta/save
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:47,750] [202303080155356140690] [960152:140208850614080] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://10.244.0.20:9380/v1/party/202303080155356140690/reader_1/202303080155356140690_reader_1/0/guest/9999/report
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:49,333] [202303080155356140690] [16:139667974440704] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/reader_1/202303080155356140690_reader_1/0/guest/9999/status/success
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:49,418] [202303080155356140690] [16:139667974440704] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/reader_1/202303080155356140690_reader_1/0/host/10000/status/success
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:49,431] [202303080155356140690] [16:139667974440704] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/reader_1/202303080155356140690_reader_1/0/guest/9999/stop/success
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:49,445] [202303080155356140690] [16:139667974440704] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/reader_1/202303080155356140690_reader_1/0/host/10000/stop/success
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:49,506] [202303080155356140690] [16:139667974440704] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/nn_0/202303080155356140690_nn_0/0/arbiter/10000/status/running
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:49,514] [202303080155356140690] [16:139667974440704] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/nn_0/202303080155356140690_nn_0/0/guest/9999/status/running
{"retcode":10,"retmsg":"update job status does not take effect"}

[INFO] [2023-03-08 01:55:49,541] [202303080155356140690] [16:139667974440704] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/nn_0/202303080155356140690_nn_0/0/host/10000/status/running
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:49,623] [202303080155356140690] [16:139667974440704] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/nn_0/202303080155356140690_nn_0/0/arbiter/10000/start
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:49,685] [202303080155356140690] [16:139667974440704] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/nn_0/202303080155356140690_nn_0/0/guest/9999/start
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:49,779] [202303080155356140690] [16:139667974440704] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/nn_0/202303080155356140690_nn_0/0/host/10000/start
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:49,791] [202303080155356140690] [16:139667974440704] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/guest/9999/update
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:49,804] [202303080155356140690] [16:139667974440704] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/host/10000/update
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:49,815] [202303080155356140690] [16:139667974440704] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/arbiter/10000/update
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:53,294] [202303080155356140690] [960258:140612159231808] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://10.244.0.20:9380/v1/party/202303080155356140690/nn_0/202303080155356140690_nn_0/0/guest/9999/report
{"retcode":10,"retmsg":"update job status does not take effect"}

[INFO] [2023-03-08 01:55:53,302] [202303080155356140690] [960258:140612159231808] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://10.244.0.20:9380/v1/tracker/202303080155356140690/nn_0/202303080155356140690_nn_0/0/guest/9999/model/run_parameters/get
{"data":{},"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:57,237] [202303080155356140690] [960258:140612159231808] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://10.244.0.20:9380/v1/tracker/202303080155356140690/reader_0/202303080155356140690_nn_0/0/guest/9999/output_data_info/read
{"data":[{"component_name":"reader_0","create_date":"2023-03-08 01:55:42","create_time":1678240542436,"data_name":"data","description":"","job_id":"202303080155356140690","party_id":"9999","role":"guest","table_name":"5541a874bd5411eda2cff2da40b0f03a","table_namespace":"output_data_202303080155356140690_reader_0_0","task_id":"202303080155356140690_reader_0","task_version":0,"update_date":"2023-03-08 01:55:42","update_time":1678240542535}],"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:57,245] [202303080155356140690] [960258:140612159231808] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://10.244.0.20:9380/v1/tracker/202303080155356140690/reader_1/202303080155356140690_nn_0/0/guest/9999/output_data_info/read
{"data":[{"component_name":"reader_1","create_date":"2023-03-08 01:55:47","create_time":1678240547703,"data_name":"data","description":"","job_id":"202303080155356140690","party_id":"9999","role":"guest","table_name":"586691ccbd5411eda902f2da40b0f03a","table_namespace":"output_data_202303080155356140690_reader_1_0","task_id":"202303080155356140690_reader_1","task_version":0,"update_date":"2023-03-08 01:55:47","update_time":1678240547705}],"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:57,258] [202303080155356140690] [960258:140612159231808] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://10.244.0.20:9380/v1/tracker/202303080155356140690/nn_0/202303080155356140690_nn_0/0/guest/9999/metric_meta/save
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:59,759] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/guest/9999/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:59,766] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/host/10000/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:55:59,772] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/arbiter/10000/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:56:09,366] [202303080155356140690] [960258:140612159231808] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://10.244.0.20:9380/v1/tracker/202303080155356140690/nn_0/202303080155356140690_nn_0/0/guest/9999/metric_data/save
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:56:20,755] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/guest/9999/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:56:20,762] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/host/10000/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:56:20,768] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/arbiter/10000/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:56:40,738] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/guest/9999/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:56:40,746] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/host/10000/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:56:40,753] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/arbiter/10000/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:56:59,341] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/guest/9999/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:56:59,348] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/host/10000/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:56:59,354] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/arbiter/10000/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:57:23,806] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/guest/9999/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:57:23,812] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/host/10000/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:57:23,818] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/arbiter/10000/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:57:39,519] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/guest/9999/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:57:39,526] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/host/10000/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:57:39,532] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/arbiter/10000/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:57:57,670] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/guest/9999/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:57:57,676] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/host/10000/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:57:57,682] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/arbiter/10000/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:58:20,898] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/guest/9999/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:58:20,905] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/host/10000/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:58:20,911] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/arbiter/10000/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:58:41,103] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/guest/9999/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:58:41,110] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/host/10000/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:58:41,116] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/arbiter/10000/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:59:05,017] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/guest/9999/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:59:05,024] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/host/10000/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:59:05,030] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/arbiter/10000/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:59:27,293] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/guest/9999/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:59:27,300] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/host/10000/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:59:27,306] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/arbiter/10000/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:59:44,743] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/guest/9999/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:59:44,750] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/host/10000/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 01:59:44,755] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/arbiter/10000/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 02:00:08,423] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/guest/9999/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 02:00:08,430] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/host/10000/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 02:00:08,436] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/arbiter/10000/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 02:00:28,902] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/guest/9999/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 02:00:28,910] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/host/10000/align
{"retcode":0,"retmsg":"success"}

[INFO] [2023-03-08 02:00:28,918] [202303080155356140690] [16:139667932493568] - [api_utils.federated_coordination_on_http] [line:246]: http api response: http://nginx:9300/v1/party/202303080155356140690/arbiter/10000/align
{"retcode":0,"retmsg":"success"}

